zona,temperatura,humedad,presion,luz,sonido_db,co2,particulas_pm25,gas_tipo,gas_ppm,vibracion,inclinacion,distancia_obstaculo,velocidad_robot,senal_comunicacion,bateria,voltaje_bateria,temperatura_bateria,autonomia_estimada_min,visibilidad,persona_detectada,confianza_persona,nivel_riesgo,accion_recomendada
Zona de escombros,20.82083836440301,34.06378620168718,946.4827516324306,0.0,55.01238650434637,1435.3611194941825,52.718484169034255,monoxido_carbono,116.31574320481919,2.41,33.2,1.21,1.05,28.1,65.27117917444775,12.09,44,45.6,71.8,0,0.14,Alto,Cambiar ruta o detenerse
Zona de escombros,19.33931887985352,26.13649207577892,938.0509110283188,1.6592,26.955354097952167,1584.6665819001926,38.38200770507118,metano,402.9912944858499,2.03,21.3,1.58,1.03,33.9,60.061446716535144,11.87,24,44.4,63.3,1,0.96,Alto,Enviar alerta y cambiar ruta
Pasillo B,22.486623788546908,48.3038119259081,900.0,0.0,13.4795194056959,1773.2558560359525,159.520712470407,metano,89.65638641240287,2.09,10.6,3.31,0.7,47.9,60.061446716535144,11.75,4,47.4,39.3,0,0.24,Alto,Cambiar ruta o detenerse
Pasillo B,23.421136571200787,35.50589609555366,900.0,0.0,34.32075045831236,2337.5086131711255,128.90198290247565,humo,406.55889598449,0.04,22.3,1.92,1.28,46.4,59.46289320053175,12.04,24,44.0,45.3,0,0.01,Alto,Cambiar ruta o detenerse
Punto crítico,22.696685784591644,29.09869571080992,952.4525887247272,0.0,20.550417794033336,519.1119024586495,156.98095131580735,sin_gas,470.23175941428383,2.39,21.9,2.88,1.1,79.9,60.061446716535144,11.75,24,44.4,28.9,0,0.04,Alto,Cambiar ruta o detenerse
Pasillo B,20.94392702119812,38.82688735526532,950.865800435003,0.0,46.4319057958706,461.9003394613401,72.10599604584618,monoxido_carbono,167.84707115519205,1.95,20.9,2.18,0.5,26.0,60.061446716535144,11.78,4,47.4,65.0,0,0.3,Alto,Cambiar ruta o detenerse
Entrada,18.99798343244138,20.503533299385715,900.0,0.0,32.267639309047546,774.3497411264243,59.847338849392266,amoniaco,264.9431569900944,1.92,5.6,1.01,0.94,88.8,60.061446716535144,11.74,24,44.4,62.4,0,0.18,Medio,Avanzar con precaución
Habitación bloqueada,21.02884636987794,20.39575318217424,900.0,1.3629,16.871464569471115,2471.5402246561466,71.60275910710924,humo,329.16451146157385,0.2,22.2,0.56,0.7,85.3,60.061446716535144,11.58,4,47.4,48.4,0,0.17,Alto,Cambiar ruta o detenerse
Pasillo A,22.2902149825922,34.5618041994958,955.0543809027644,0.0,20.173613091761123,1901.660371493329,8.245934251771306,amoniaco,39.73583292724731,0.58,15.1,1.33,0.11,81.3,60.061446716535144,11.56,4,47.4,91.6,1,0.63,Bajo,Enviar alerta y continuar exploración
Zona de escombros,22.61548455090956,40.8489069187704,943.5493965806892,0.0,17.38695115802448,1690.746350014454,131.8232481509977,monoxido_carbono,247.04035910206014,2.41,0.7,0.48,1.23,44.7,70.50139708994536,11.9,4,55.8,52.6,0,0.07,Alto,Cambiar ruta o detenerse
Túnel estrecho,22.0097380207263,32.733047009724736,900.0,0.0,49.45707820741576,498.7820121709706,66.21017995663871,humo,180.29248829412336,1.25,18.9,3.17,0.27,85.8,60.061446716535144,11.61,24,44.4,62.1,0,0.32,Medio,Avanzar con precaución
Pasillo A,19.85962374713883,33.73113641327596,900.0,0.0,37.78388521534368,2246.1314701752262,59.83166562593854,humo,436.22781562565405,0.99,34.6,4.02,0.81,34.6,44.60469064699929,11.4,24,32.1,59.8,0,0.33,Alto,Cambiar ruta o detenerse
Entrada,19.28467108258433,46.88987868095441,942.4759048317328,0.0,32.82461851543898,2106.789391924035,109.67468643984326,amoniaco,438.3397593541631,2.1,12.2,1.83,0.57,30.0,75.08799754223888,12.2,4,59.5,49.2,0,0.23,Alto,Cambiar ruta o detenerse
Sector norte,21.27095973976992,41.43308943829955,947.3189111180128,0.0,30.373823404767705,1796.0800921208784,81.34373454921787,sin_gas,350.3897697736184,0.22,33.8,2.06,0.58,23.6,35.18649803356408,11.18,24,24.5,53.6,0,0.13,Alto,Cambiar ruta o detenerse
Punto crítico,25.164906828516312,37.13820877698564,952.9549018056916,0.0,32.394191887594594,1112.1747125178758,176.64758943918224,metano,327.86223729624913,1.04,3.4,4.12,0.77,95.1,15.0,10.85,24,8.4,35.1,0,0.37,Alto,Cambiar ruta o detenerse
Sector norte,21.6229760838285,45.957253042779065,900.0,0.0,31.38979584511381,548.0604066933404,67.34428250729023,monoxido_carbono,366.8442296379284,0.94,25.6,1.27,1.5,44.6,60.061446716535144,11.69,24,44.4,57.6,1,0.94,Alto,Enviar alerta y cambiar ruta
Entrada,21.546769675784365,32.86244297635066,900.0,0.0,71.7916009783441,1618.0808245919372,112.43177238638484,monoxido_carbono,182.99345050140354,0.87,4.0,0.77,0.67,93.4,60.061446716535144,12.14,4,47.4,57.5,0,0.32,Medio,Avanzar con precaución
Túnel estrecho,19.22261676684548,40.28314403702801,900.0,0.4148,37.86077587188316,1911.3586000677587,59.538942606689055,sin_gas,202.2596233753127,0.77,9.6,2.61,0.36,41.8,49.78020934551703,11.77,4,39.2,73.1,0,0.01,Medio,Avanzar con precaución
Pasillo B,23.200488483450776,35.13584336792435,940.9896450595256,0.0,22.05533859432876,597.9047360022196,178.35412153686494,sin_gas,276.85236144435265,0.53,20.0,3.3,0.96,92.6,54.775668407307805,11.61,24,40.2,30.4,0,0.19,Medio,Avanzar con precaución
Pasillo A,23.49944356550539,41.39162637327441,948.8661877539492,0.0,36.58567127075392,1730.9120855768415,82.89443107602243,monoxido_carbono,469.0140636822337,0.43,20.7,3.08,0.43,92.3,66.7695660060241,11.94,4,52.8,55.3,0,0.35,Medio,Avanzar con precaución
Zona de escombros,19.8620002009121,34.23098511921783,900.0,0.0,32.107524763774435,1001.368742563033,115.97254190169052,sin_gas,361.9999370597813,1.6,27.1,3.63,0.25,93.9,60.061446716535144,11.56,24,44.4,33.6,0,0.14,Alto,Cambiar ruta o detenerse
Sector norte,25.1011967848052,43.46091877006309,944.2218986682664,0.0,65.03506049508775,2004.9128645616047,27.176292416718486,sin_gas,275.4946222481117,2.3,21.5,0.47,0.17,59.7,60.061446716535144,11.73,24,44.4,72.6,0,0.29,Alto,Cambiar ruta o detenerse
Escalera colapsada,22.62628157351158,35.5574059168367,942.2865584251932,0.0,18.80613768710493,1533.1932862638578,133.27923760114015,metano,385.2065074483573,1.27,20.8,2.26,0.13,89.3,60.061446716535144,11.67,24,44.4,33.5,0,0.27,Alto,Cambiar ruta o detenerse
Escalera colapsada,24.46101945245239,36.691871394284256,944.5147731958136,0.0,48.79419871872168,670.9772544019171,52.111760128233854,amoniaco,185.44515611921253,0.74,31.9,1.35,0.7,96.1,77.65038417465226,12.24,24,58.5,61.5,0,0.07,Medio,Avanzar con precaución
Túnel estrecho,18.116043398213684,39.16137006126008,958.7491560513196,0.0,32.53861879511893,1505.6908402397955,83.50731924519258,metano,365.2333505721853,0.4,15.8,3.84,0.7,46.0,60.061446716535144,11.62,4,47.4,55.3,0,0.31,Medio,Avanzar con precaución
Túnel estrecho,20.656076383557245,28.71906523801829,943.6919048981456,0.0,38.91832648259312,1231.047413070109,159.54828590730514,sin_gas,205.33812414135016,2.08,7.9,4.39,0.36,53.5,60.061446716535144,12.01,24,44.4,34.9,0,0.05,Alto,Cambiar ruta o detenerse
Entrada,23.554403012613,37.6249836493771,947.221350289898,0.0,27.57705036930563,778.747533391469,174.84669010489276,sin_gas,139.83070350749304,2.43,5.7,1.55,1.2,77.5,60.061446716535144,11.75,24,44.4,32.6,0,0.29,Medio,Avanzar con precaución
Punto crítico,21.23307405487015,24.39143958512894,950.8542253874832,3.3184,13.27288784365237,2167.1830205304586,79.30011782206248,metano,304.86202376114625,0.87,14.0,0.66,0.28,44.0,60.061446716535144,11.63,24,44.4,60.1,0,0.4,Alto,Cambiar ruta o detenerse
Zona de escombros,24.01928641617517,28.81803716383639,947.68077030887,0.0,6.207323878256875,423.159741848186,151.09046689203748,amoniaco,343.43877982509224,0.73,24.9,1.42,1.38,80.3,60.061446716535144,11.77,24,44.4,25.2,1,0.77,Medio,Enviar alerta y avanzar con precaución
Habitación bloqueada,21.06816220691613,34.030475715409075,949.4088132638803,0.0,20.812323852438976,1055.4693814440225,14.336074046225631,monoxido_carbono,229.6467805897821,1.5,1.5,0.7,0.92,25.9,60.061446716535144,11.87,4,47.4,84.5,1,0.66,Medio,Enviar alerta y avanzar con precaución
Sector norte,18.86089202696697,35.90571735262973,947.4967260425276,0.0,58.04519795583735,426.4495801557962,153.32545521329595,sin_gas,282.7503656777507,1.94,4.5,1.75,0.14,61.9,60.061446716535144,11.84,24,44.4,43.2,1,0.96,Medio,Enviar alerta y avanzar con precaución
Zona de escombros,19.44564327348421,39.1272828207708,900.0,0.0,49.67348122742838,601.6145876629207,115.1643063767137,metano,347.0330374279784,1.14,3.7,2.78,1.45,29.8,60.061446716535144,11.78,24,44.4,38.3,0,0.27,Alto,Cambiar ruta o detenerse
Habitación bloqueada,19.86876684484981,34.83612575863627,950.2509470555076,0.0,42.77405505775052,1023.9020602634702,90.52357946853034,humo,383.85502577875474,1.58,20.5,4.87,0.53,43.5,41.6387285556598,11.51,4,32.7,54.3,0,0.29,Alto,Cambiar ruta o detenerse
Habitación bloqueada,21.89453221449047,23.143597540071674,900.0,0.0,39.09196140997359,513.9694893176845,160.74364839901835,sin_gas,447.78573954153813,1.79,8.5,2.12,0.73,40.7,58.81221925921729,11.86,4,46.4,23.5,0,0.01,Alto,Cambiar ruta o detenerse
Túnel estrecho,19.34221798167213,34.73173018619044,948.596722531212,1.3629,43.40918056604193,1652.9241179499963,152.93401393862243,monoxido_carbono,177.27210313216406,2.4,5.8,1.26,0.5,87.1,42.9926058377267,11.53,24,30.8,35.8,0,0.05,Alto,Cambiar ruta o detenerse
Sector norte,24.509179903875864,33.49806856296159,952.1014025858226,0.0,22.25173852219556,582.4121067709839,56.9653917918751,metano,475.7386264262968,0.41,20.7,1.0,1.12,35.5,56.21753151568681,11.64,4,44.4,42.8,0,0.24,Medio,Avanzar con precaución
Pasillo A,19.18724374666481,39.10002760094049,900.0,0.0,28.89079853920689,1873.5986315388,143.51046691033255,sin_gas,318.63990506154374,2.49,26.6,1.03,0.78,84.7,60.061446716535144,11.72,22,44.7,38.7,0,0.01,Alto,Cambiar ruta o detenerse
Sector sur,24.36804320537809,18.953056544072915,936.7693761961584,1.7152,33.15858295255516,510.54843651703834,22.410913390915205,sin_gas,393.8509413494739,0.98,11.6,1.12,0.29,83.5,60.061446716535144,11.73,4,47.4,55.3,0,0.36,Medio,Avanzar con precaución
Entrada,19.994484504985174,24.85262862413304,943.258086686564,0.0,39.48686656755824,524.5486790823032,148.98368870678976,monoxido_carbono,349.88452174071915,1.81,20.2,3.86,0.25,59.9,60.061446716535144,11.69,22,44.7,37.0,0,0.2,Alto,Cambiar ruta o detenerse
Punto crítico,22.32776243508717,38.28418512432439,946.8504411057112,0.0,20.238278367570345,1041.1843879698595,123.20473315406883,sin_gas,102.78586267420332,1.43,3.4,0.49,1.12,38.7,60.061446716535144,11.78,4,47.4,59.7,0,0.11,Medio,Avanzar con precaución
Sector sur,24.22608804006956,39.26301091540174,951.4692857161872,0.0,30.700581291171925,2282.800202435483,20.376607913089977,sin_gas,35.71919150441416,1.22,32.7,4.99,0.43,38.2,43.2400596374137,11.41,24,31.0,82.8,0,0.16,Alto,Cambiar ruta o detenerse
Pasillo B,21.06706500396254,31.46751776721236,900.0,0.5333,76.50290747094259,1746.9258223189647,124.5390303579737,sin_gas,363.1432320090601,1.75,11.8,2.71,0.29,57.2,61.887253622200134,12.05,4,48.9,37.7,0,0.34,Alto,Cambiar ruta o detenerse
Pasillo B,19.832919270172283,43.73324179826173,900.0,0.5333,15.071925377943291,2017.2757130507307,106.59087341836478,sin_gas,255.52633389728823,0.99,34.9,2.81,0.8,20.7,60.061446716535144,11.69,24,44.4,51.4,1,0.98,Alto,Enviar alerta y cambiar ruta
Zona de escombros,24.53278393056719,21.814547773341104,951.328423381938,4.5628,13.102022539442023,697.2594299019227,109.04626770038284,metano,351.1066842041623,0.32,34.3,1.92,1.22,62.5,65.74541300897178,11.73,24,49.0,43.8,1,0.93,Medio,Enviar alerta y avanzar con precaución
Escalera colapsada,22.398748348171704,38.28353716301849,938.992678743574,0.0,3.767462420409811,2151.663409819216,55.901188647697246,sin_gas,238.42140195772987,1.22,27.3,3.51,0.49,96.2,37.75501809818902,11.39,24,26.6,65.8,0,0.31,Alto,Cambiar ruta o detenerse
Sector norte,20.50818441932352,20.29298644787993,932.2540239461596,0.0,61.81170380827654,417.10712120789384,51.63701000224792,sin_gas,156.11726020825202,1.3,0.7,2.46,0.49,32.4,60.061446716535144,11.77,24,44.4,68.8,0,0.24,Medio,Avanzar con precaución
Sector sur,18.55108934839976,38.32927377457583,949.7477631962934,0.0,7.789263045958923,847.420436539313,138.44364460945351,amoniaco,142.50895462978414,0.5,19.0,1.78,1.27,65.9,76.31091359495164,12.0,24,57.4,39.2,0,0.24,Medio,Avanzar con precaución
Punto crítico,19.44508553063268,39.82208024862414,945.558347807741,0.0,29.644485734425224,1693.7938744149862,49.942359178016844,monoxido_carbono,365.26606543499713,2.34,3.0,1.47,0.31,96.9,60.061446716535144,11.88,24,44.4,59.3,0,0.31,Medio,Avanzar con precaución
Sector sur,20.3902943741636,36.15908162955659,951.787155240281,2.9036,20.537447360943204,1188.0174580475057,83.09589406673226,metano,138.39004073288734,0.57,31.3,4.64,0.96,88.8,60.061446716535144,11.72,24,44.4,67.2,0,0.1,Medio,Avanzar con precaución
Pasillo A,21.486922341068315,32.75507691859381,900.0,0.0,20.46097101659069,2466.806122608983,126.58807475478733,sin_gas,357.33843546271044,1.02,27.6,1.6,1.44,88.0,60.061446716535144,11.99,4,47.4,35.3,0,0.22,Alto,Cambiar ruta o detenerse
Pasillo B,22.04438333696384,31.2341140539598,900.0,0.0,31.148449015066376,463.7124183184683,18.93284398230161,monoxido_carbono,191.98006315868926,0.39,34.0,2.29,1.28,85.7,60.061446716535144,11.62,43,41.6,78.9,0,0.13,Medio,Avanzar con precaución
Entrada,21.139878684681285,36.40660879300864,943.0983722379844,0.0,42.83642646853361,2497.0561526667407,109.04596695704001,sin_gas,385.44920215940124,1.34,21.3,1.88,0.19,44.7,73.75384994352794,11.96,22,55.7,37.1,0,0.05,Alto,Cambiar ruta o detenerse
Pasillo B,23.067970755372954,43.394218448293664,941.0230568840792,0.5333,37.02705768611209,1709.6184490087637,108.14086521342053,sin_gas,71.4049628913348,0.77,18.3,0.61,0.55,91.2,60.061446716535144,11.78,24,44.4,68.3,0,0.05,Medio,Avanzar con precaución
Habitación bloqueada,20.708563170531985,39.17682035230354,900.0,0.0,70.60090611785918,1573.2846886518028,124.74002440540447,monoxido_carbono,102.48997160217277,1.22,18.2,1.09,0.3,95.3,60.061446716535144,11.96,4,47.4,57.0,0,0.06,Alto,Cambiar ruta o detenerse
Escalera colapsada,24.058858998499343,31.71052719373951,944.1116919888844,0.0,31.32281175233564,524.9761293843462,69.73741667849026,humo,342.95580286008175,0.56,13.5,1.11,1.43,59.7,65.80430073633482,11.77,24,49.0,63.5,0,0.25,Medio,Avanzar con precaución
Pasillo A,23.85277628417539,36.43346352775289,946.837937587356,0.0,26.364278347040884,973.9906409983704,83.57146046117195,metano,280.1155600991313,0.13,16.4,3.53,1.48,48.4,60.061446716535144,11.82,22,44.7,63.4,0,0.05,Medio,Avanzar con precaución
Escalera colapsada,22.695450920848543,40.39949629078572,944.6921299831326,6.1626,68.79448978248708,2341.791645412351,62.74462994032139,sin_gas,101.93917131079961,1.95,22.2,2.15,0.43,53.1,72.29938873383611,11.84,24,54.2,66.0,0,0.23,Alto,Cambiar ruta o detenerse
Zona de escombros,20.782710110670248,39.02510195128249,900.0,0.47405,29.50998560576046,1143.916606697413,146.42944325803577,humo,451.4135058634108,1.6,32.7,3.95,1.04,46.7,60.460533525908765,11.91,24,44.8,33.1,0,0.24,Alto,Cambiar ruta o detenerse
Túnel estrecho,21.90351990954951,33.172212812104114,953.5637470936568,0.0,68.75339070000243,1789.471720981227,27.856883006323184,sin_gas,137.97207370632313,0.85,20.9,3.6,1.28,37.0,60.061446716535144,11.66,24,44.4,68.7,0,0.36,Medio,Avanzar con precaución
Sector norte,22.78728088684435,46.585259144492,944.7692494525716,0.47405,75.80583764580518,2498.9423358793156,173.51694187568273,humo,210.5356990968169,0.12,30.0,1.12,0.43,69.5,42.708658570296706,11.49,24,30.6,35.8,0,0.25,Alto,Cambiar ruta o detenerse
Sector norte,19.29183056898369,33.07978193567645,946.737086326528,0.47405,9.80827639690339,952.4463990504364,116.09632729636304,metano,101.14397093626899,2.16,30.2,2.9,0.36,65.0,60.061446716535144,11.86,24,44.4,60.0,0,0.39,Medio,Avanzar con precaución
Sector norte,24.031236437584774,35.67181133686183,941.6857608772294,0.0,52.60749227777874,1609.769845930437,160.20867676863077,metano,194.0138091707571,0.42,18.2,3.77,0.12,57.0,60.061446716535144,11.49,43,41.6,35.8,0,0.02,Medio,Avanzar con precaución
Punto crítico,23.54801247156152,32.759144174340456,900.0,0.47405,28.05764010987541,1862.5193646746477,79.59050519633375,monoxido_carbono,245.8233750557371,2.33,12.2,3.24,0.68,27.7,66.76012627153693,11.93,24,49.8,55.3,0,0.28,Alto,Cambiar ruta o detenerse
Túnel estrecho,23.09524015918884,48.927095293210535,900.0,0.0,68.5143039664134,745.7172177873719,63.14883731859942,gas_desconocido,147.62352725645954,1.2,22.4,3.08,1.36,83.8,60.061446716535144,11.69,43,41.6,60.8,0,0.02,Medio,Avanzar con precaución
Zona de escombros,23.66664892682188,38.43064546409325,935.9845291285644,1.3629,25.97379942001538,712.2123837619824,162.6270167716971,humo,384.54683659824167,0.85,15.6,3.75,1.36,34.0,37.70594699958766,11.37,4,29.6,27.2,0,0.29,Alto,Cambiar ruta o detenerse
Pasillo B,19.071026637851624,36.99796331284088,946.8312602253046,0.0,18.83110338106864,1358.246614482164,22.302780053352986,metano,196.96648932312354,1.85,2.9,0.47,0.28,29.2,60.061446716535144,11.63,24,44.4,81.2,0,0.16,Alto,Cambiar ruta o detenerse
Pasillo A,21.21765393072699,47.2801808893086,942.820216927453,0.0,31.97792360153532,1210.2062956945078,25.493765513423615,monoxido_carbono,364.75499997938357,2.19,13.2,3.71,0.39,69.8,60.061446716535144,11.67,4,47.4,62.0,0,0.25,Medio,Avanzar con precaución
Túnel estrecho,19.79612449688752,38.21546367741098,900.0,0.0,15.963179264048035,1899.852417400359,57.385685884818535,monoxido_carbono,103.53608769512168,0.93,34.8,1.51,0.67,51.9,60.061446716535144,11.94,4,47.4,72.6,1,0.85,Medio,Enviar alerta y avanzar con precaución
Pasillo B,20.68836198163033,32.683616101697346,941.0896101975144,0.47405,13.753758202316726,545.9684200420311,172.96062180910573,monoxido_carbono,188.51774839658935,1.02,1.7,2.94,1.19,24.8,60.061446716535144,11.93,24,44.4,38.1,0,0.07,Alto,Cambiar ruta o detenerse
Habitación bloqueada,22.110314603493844,21.35082233833808,948.239046016966,0.0,36.63619558817183,2441.54990985545,115.78700672639373,humo,4.029144447767585,1.08,24.4,1.36,0.96,48.4,60.061446716535144,11.61,24,44.4,52.4,1,0.91,Medio,Enviar alerta y avanzar con precaución
Escalera colapsada,23.257562862373533,29.48927818941649,949.6684015668742,0.0,14.741401471423432,429.98166154024796,101.98389690769469,sin_gas,379.3187919568559,2.31,29.4,4.23,0.82,81.7,15.0,11.08,24,8.4,48.3,0,0.36,Alto,Cambiar ruta o detenerse
Sector norte,21.65007206117162,27.371954942286408,949.7454452998434,1.3629,28.91917486576173,1662.7653311059175,128.4373588621986,sin_gas,312.9433221652421,1.73,22.7,2.51,0.93,69.2,60.061446716535144,11.37,4,47.4,40.0,0,0.08,Alto,Cambiar ruta o detenerse
Habitación bloqueada,23.78925726437792,37.09806044618538,943.262590863084,0.0,24.23931884041184,1581.5284513215156,78.05804731367908,gas_desconocido,408.9116624602281,0.62,19.9,3.29,0.23,49.0,73.72340032160938,12.08,24,55.4,52.8,0,0.37,Medio,Avanzar con precaución
Sector norte,22.368613918858088,33.54964282523408,959.5211986152384,0.0,21.056757335277005,682.9030348264241,137.66286274863987,humo,227.80539405135664,0.46,24.8,4.01,0.77,35.3,60.061446716535144,11.57,24,44.4,52.3,1,0.76,Medio,Enviar alerta y avanzar con precaución
Punto crítico,24.438774296842706,23.01599846540664,952.2767579916544,0.0,36.03905211767604,716.9235636984126,73.81537214525358,sin_gas,399.8703218564196,0.58,15.0,4.5,1.49,70.5,60.061446716535144,11.82,24,44.4,52.5,0,0.3,Medio,Avanzar con precaución
Pasillo A,19.848139549826254,35.16323330290335,950.0842921574988,0.0,18.160524100432934,2064.6227243687163,149.6135573498813,sin_gas,323.7912721354892,0.66,3.2,3.71,0.22,91.0,60.061446716535144,11.72,43,41.6,34.5,0,0.38,Medio,Avanzar con precaución
Sector sur,20.25390455393882,36.05353219614373,951.4579336762116,0.47405,46.760812639036814,2263.8811626666347,51.7766393633883,gas_desconocido,1.8064662671193332,0.58,33.7,0.91,0.83,71.7,60.061446716535144,11.61,24,44.4,78.8,0,0.07,Medio,Avanzar con precaución
Zona de escombros,20.20173479188173,23.67266104000236,945.1656677308353,1.54065,72.53573984389251,994.3356283559161,53.57066537715424,metano,126.84714754425596,1.65,15.1,4.3,0.51,85.0,60.061446716535144,11.65,24,44.4,72.5,1,0.61,Medio,Enviar alerta y avanzar con precaución
Entrada,22.46583532955877,30.81460667813909,948.7810589405848,0.0,17.498169008138213,1319.7243243213939,96.41707844967866,monoxido_carbono,246.94567610312401,0.29,23.3,3.17,0.86,61.7,83.4716408927009,12.13,24,63.2,47.1,0,0.14,Medio,Avanzar con precaución
Punto crítico,21.71013201825238,34.9616175130686,900.0,0.0,5.990693948026389,1145.4895861805426,80.38320271330365,sin_gas,309.3436748559856,0.97,18.6,3.13,0.9,77.4,60.061446716535144,11.77,4,47.4,63.8,1,0.94,Medio,Enviar alerta y avanzar con precaución
Túnel estrecho,20.015513652986307,24.514343484336194,900.0,0.0,11.675055930067195,552.348727271969,118.42027274982169,humo,32.795432332318576,1.56,1.9,4.62,0.91,91.7,65.80561421460845,12.03,4,52.0,62.8,0,0.3,Bajo,Avanzar
Sector sur,24.06180370562212,35.65363421576016,900.0,0.0,30.35484094886795,1813.7289166331998,68.75088206787632,sin_gas,352.53996409189585,0.73,33.3,1.39,1.29,81.9,60.061446716535144,12.06,24,44.4,49.0,0,0.27,Alto,Cambiar ruta o detenerse
Escalera colapsada,23.92608605611059,22.50796319845504,942.3258020555392,0.0,73.13172755529027,2132.9051630919494,45.346363587314194,sin_gas,271.76804882362995,0.16,27.7,1.35,0.65,92.8,51.344817609467725,11.55,24,37.5,56.7,0,0.39,Medio,Avanzar con precaución
Pasillo A,23.633888408085447,31.26267653770189,944.4785123662762,0.0,21.227708353986763,1040.2466505215348,87.21649850450768,sin_gas,262.88965340914285,0.2,5.2,2.66,0.82,54.5,60.061446716535144,11.81,24,44.4,56.8,0,0.08,Bajo,Avanzar
Túnel estrecho,20.173689529749705,41.23858722318074,952.3945228282564,0.0,31.95739701690886,2479.3691666245086,103.1673874120006,humo,146.02277904895755,0.31,34.4,3.8,0.12,92.3,58.543916958524136,11.91,24,43.2,49.1,1,0.81,Medio,Enviar alerta y avanzar con precaución
Sector sur,22.952479298004164,26.38915401864386,946.4664842233494,0.0,23.12838992237037,559.2882702929453,29.955009420195825,amoniaco,297.4115497452884,2.09,25.8,2.35,1.21,69.7,60.061446716535144,11.69,4,47.4,73.7,0,0.19,Medio,Avanzar con precaución
Túnel estrecho,24.536153490914764,36.62430864663991,951.6562229211906,0.0,26.592505814704808,1789.760499010494,102.42575950330394,amoniaco,13.746444815887326,1.64,16.5,3.24,0.46,89.6,60.061446716535144,11.64,24,44.4,69.3,1,0.69,Medio,Enviar alerta y avanzar con precaución
Pasillo A,24.642049689493344,35.22522717183525,900.0,0.0,21.424655906962585,1341.2788305047868,60.869923418381944,metano,32.35016525199425,0.16,21.4,2.37,1.24,23.2,67.2793499748071,12.21,24,50.2,66.2,0,0.01,Medio,Avanzar con precaución
