,temperatura,humedad,presion,luz,sonido_db,co2,particulas_pm25,gas_ppm,vibracion,inclinacion,distancia_obstaculo,velocidad_robot,senal_comunicacion,bateria,voltaje_bateria,temperatura_bateria,autonomia_estimada_min,visibilidad,persona_detectada,confianza_persona
distancia_obstaculo,-0.008081988320403584,-0.01333748354866894,0.020756150625713905,-0.02221307344883819,-0.02320970668882755,-0.04088770770840321,-0.0131322451928775,-0.012518832037293376,0.02222550103293724,0.0024605047277739584,1.0,0.01325440977712094,0.024608232360626706,0.004093106842557974,0.005006587956381535,0.025126049190549657,-0.0006115084221391818,0.02246456673858674,-0.012933147236469086,0.004290148421541953
velocidad_robot,-0.02056350366198355,0.0006143745003713571,0.011788163951150999,-0.023356198871180185,-0.011822669235029991,-0.02030187456520497,-0.007281382414903883,0.02116464217383274,0.015970690372966237,0.000580148061710809,0.01325440977712094,1.0,-0.02141788908238215,0.00037232444785637687,-0.005175489594809061,-0.0040981700816700925,0.0012316067365908412,0.00566535948554554,-0.030877867234392474,-0.02773770980264888
senal_comunicacion,0.038344742352596224,-0.024036217651514168,0.024426916434936694,0.023699961418173543,-0.0066278560340484296,-0.010779792351555685,0.013390022425657356,0.0008561040523451408,-0.028897897914429274,-0.019352680546972527,0.024608232360626706,-0.02141788908238215,1.0,-0.01470259566641139,-0.010677799610269345,-0.00430637923786059,-0.013696629771259218,-0.014502757028779687,0.017157469976912355,0.01565330785664942
bateria,0.0038104293748391247,-0.009630511378200085,-0.017684167840126296,-0.02222540673041611,0.007455426735881476,0.018397448164679284,-0.024336888774003102,-0.003328961574644838,0.017156277928632453,0.012969228485041985,0.004093106842557974,0.00037232444785637687,-0.01470259566641139,1.0,0.8444577031121832,0.02325840691594167,0.9827698367782243,0.025547607305458447,-0.029921685775805774,-0.013865156254024881
voltaje_bateria,0.005924401573731621,-0.012770608962706712,-0.007341987911057988,-0.01832330347198243,0.007511523094337078,0.006220645157964328,-0.019156687930705445,-0.005981055170229754,-0.00481307985393088,0.03068247788571875,0.005006587956381535,-0.005175489594809061,-0.010677799610269345,0.8444577031121832,1.0,0.022989150488356022,0.8292630948005747,0.026523054289903935,-0.018719970131870035,-0.008379791235660045
temperatura_bateria,0.00044903464459181933,0.016497201740301275,0.0038105453119145105,-0.023015204255810023,0.00841390001507882,-0.008119667613260233,0.009138307879318632,-0.005930353638902555,0.01898130200659776,0.0045082484265961936,0.025126049190549657,-0.0040981700816700925,-0.00430637923786059,0.02325840691594167,0.022989150488356022,1.0,-0.16189679135841528,-0.017518035527790573,-0.014165990066429018,-0.0053796355834722104
autonomia_estimada_min,0.0036642654627164063,-0.012534686447063853,-0.01810248540217693,-0.017668889937508567,0.005883203939113819,0.019556769687718818,-0.02565514094460169,-0.0021976662443105584,0.013403384461612456,0.012033129145874403,-0.0006115084221391818,0.0012316067365908412,-0.013696629771259218,0.9827698367782243,0.8292630948005747,-0.16189679135841528,1.0,0.028381874646483493,-0.026995150673180934,-0.012721116823865465
visibilidad,0.004523380351023321,0.010276659358170721,-0.014599050942766523,-0.01854360107355105,0.005559057577095045,0.002720132627458194,-0.8165159945603335,-0.4823474996538167,0.012995118669211903,0.007422764427457905,0.02246456673858674,0.00566535948554554,-0.014502757028779687,0.025547607305458447,0.026523054289903935,-0.017518035527790573,0.028381874646483493,1.0,0.02401101795745845,0.02909800274854918
persona_detectada,-0.011764065042780695,-0.034860566434879114,0.025111398962275225,0.0017402988075178624,-0.031243942470469854,0.01330295796749954,-0.019000686514734754,-0.015297508159896831,0.01289664684619943,0.0030129551888362807,-0.012933147236469086,-0.030877867234392474,0.017157469976912355,-0.029921685775805774,-0.018719970131870035,-0.014165990066429018,-0.026995150673180934,0.02401101795745845,1.0,0.8918192390548262
confianza_persona,-0.008995378669749723,-0.02418534789560022,0.01017423804763424,-0.001598818258179059,-0.04565222814268694,0.024679022933012402,-0.018499914141784264,-0.013416954164909371,0.006831684382953315,0.014332521947915363,0.004290148421541953,-0.02773770980264888,0.01565330785664942,-0.013865156254024881,-0.008379791235660045,-0.0053796355834722104,-0.012721116823865465,0.02909800274854918,0.8918192390548262,1.0
